tick,area,sex,event_age_months,count
20,nsw,female,11,2
20,nsw,female,12,1
20,nsw,female,13,2
20,nsw,female,14,2
20,nsw,female,15,2
20,nsw,female,16,2
20,nsw,female,17,4
20,nsw,female,18,3
20,vic,male,11,1
20,vic,male,13,2
20,vic,male,14,1
20,vic,male,15,3
20,vic,male,16,1
20,vic,male,17,4
20,vic,male,18,2
20,vic,female,8,1
20,vic,female,12,1
20,vic,female,14,2
20,vic,female,16,4
20,vic,female,17,2
20,vic,female,18,2
20,vic,female,19,1
20,qld,male,4,1
20,qld,male,12,1
20,qld,male,13,1
20,qld,male,14,1
20,qld,male,15,1
20,qld,male,16,1
20,qld,male,17,2
20,qld,male,18,4
20,qld,female,3,1
20,qld,female,12,1
20,qld,female,13,1
20,qld,female,14,1
20,qld,female,15,2
20,qld,female,16,1
20,qld,female,17,3
20,qld,female,18,2
20,sa,male,14,1
20,sa,male,15,2
20,sa,male,17,4
20,sa,female,14,1
20,sa,female,16,3
20,sa,female,18,3
20,sa,female,19,1
20,wa,male,3,1
20,wa,male,6,1
20,wa,male,9,1
20,wa,male,14,2
20,wa,male,15,3
20,wa,male,16,1
20,wa,male,17,2
20,wa,female,16,1
20,wa,female,17,5
20,wa,female,18,1
20,tas,female,18,2
20,act,male,16,1
21,nsw,male,0,1
21,nsw,male,5,1
21,nsw,male,10,1
21,nsw,male,12,1
21,nsw,male,13,2
21,nsw,male,14,1
21,nsw,male,15,1
21,nsw,male,16,3
21,nsw,male,17,1
21,nsw,male,18,3
21,nsw,male,19,1
21,nsw,female,8,2
21,nsw,female,9,1
21,nsw,female,10,1
21,nsw,female,12,1
21,nsw,female,13,1
21,nsw,female,15,2
21,nsw,female,16,6
21,nsw,female,17,4
21,nsw,female,18,4
21,nsw,female,19,3
21,nsw,female,20,1
21,vic,male,5,1
21,vic,male,9,2
21,vic,male,12,1
21,vic,male,14,4
21,vic,male,15,1
21,vic,male,16,1
21,vic,male,17,7
21,vic,male,18,3
21,vic,male,19,1
21,vic,female,8,1
21,vic,female,13,1
21,vic,female,14,1
21,vic,female,15,2
21,vic,female,16,2
21,vic,female,17,2
21,vic,female,18,6
21,vic,female,19,3
21,qld,male,0,1
21,qld,male,9,1
21,qld,male,10,1
21,qld,male,11,1
21,qld,male,13,2
21,qld,male,16,2
21,qld,male,17,2
21,qld,male,19,1
21,qld,female,8,1
21,qld,female,13,1
21,qld,female,14,2
21,qld,female,16,1
21,qld,female,17,3
21,qld,female,19,1
21,sa,male,7,1
21,sa,male,14,2
21,sa,male,16,1
21,sa,female,12,1
21,sa,female,13,1
21,sa,female,15,1
21,sa,female,16,4
21,sa,female,18,1
21,wa,male,8,1
21,wa,male,12,1
21,wa,male,13,2
21,wa,male,18,3
21,wa,female,8,1
21,wa,female,14,1
21,wa,female,16,1
21,wa,female,17,2
21,wa,female,19,3
21,tas,male,14,1
21,tas,male,17,1
21,tas,male,19,1
21,tas,female,16,1
21,tas,female,17,1
21,tas,female,19,1
21,act,female,16,1
22,nsw,male,2,1
22,nsw,male,7,1
22,nsw,male,9,1
22,nsw,male,10,3
22,nsw,male,12,1
22,nsw,male,13,1
22,nsw,male,14,2
22,nsw,male,15,5
22,nsw,male,16,1
22,nsw,male,17,4
22,nsw,male,18,2
22,nsw,female,4,1
22,nsw,female,12,1
22,nsw,female,13,2
22,nsw,female,14,1
22,nsw,female,15,1
22,nsw,female,16,4
22,nsw,female,17,5
22,nsw,female,18,5
22,nsw,female,19,1
22,vic,male,6,1
22,vic,male,10,2
22,vic,male,11,1
22,vic,male,13,1
22,vic,male,15,7
22,vic,male,16,2
22,vic,male,17,2
22,vic,male,18,2
22,vic,male,19,1
22,vic,female,12,1
22,vic,female,13,1
22,vic,female,14,1
22,vic,female,16,2
22,vic,female,17,3
22,vic,female,18,2
22,vic,female,19,2
22,qld,male,4,1
22,qld,male,5,1
22,qld,male,6,1
22,qld,male,8,1
22,qld,male,10,2
22,qld,male,11,1
22,qld,male,13,2
22,qld,male,15,3
22,qld,male,16,1
22,qld,male,17,2
22,qld,male,18,1
22,qld,female,14,1
22,qld,female,15,1
22,qld,female,16,1
22,qld,female,17,2
22,qld,female,18,2
22,qld,female,19,1
22,sa,male,7,1
22,sa,male,12,2
22,sa,male,13,1
22,sa,male,14,1
22,sa,male,16,1
22,sa,male,17,1
22,sa,female,17,1
22,sa,female,18,3
22,wa,male,12,1
22,wa,male,13,1
22,wa,male,15,1
22,wa,male,16,1
22,wa,male,17,2
22,wa,female,14,1
22,wa,female,18,2
22,tas,male,16,1
22,tas,female,13,1
22,nt,male,15,1
22,act,male,18,1
22,act,female,17,1
23,nsw,male,5,2
23,nsw,male,6,1
23,nsw,male,11,2
23,nsw,male,12,3
23,nsw,male,13,4
23,nsw,male,15,3
23,nsw,male,16,4
23,nsw,male,17,5
23,nsw,male,18,3
23,nsw,female,10,1
23,nsw,female,11,1
23,nsw,female,14,1
23,nsw,female,15,3
23,nsw,female,16,2
23,nsw,female,17,4
23,nsw,female,18,1
23,nsw,female,19,2
23,vic,male,10,1
23,vic,male,12,4
23,vic,male,13,1
23,vic,male,15,4
23,vic,male,16,3
23,vic,male,17,3
23,vic,male,18,1
23,vic,female,5,1
23,vic,female,9,1
23,vic,female,14,1
23,vic,female,15,1
23,vic,female,16,4
23,vic,female,17,3
23,vic,female,18,4
23,qld,male,6,1
23,qld,male,10,2
23,qld,male,13,1
23,qld,male,16,2
23,qld,male,17,2
23,qld,male,18,1
23,qld,female,8,1
23,qld,female,9,1
23,qld,female,13,3
23,qld,female,15,1
23,qld,female,16,6
23,qld,female,17,7
23,qld,female,18,1
23,sa,male,4,1
23,sa,male,14,1
23,sa,male,16,2
23,sa,male,17,1
23,sa,male,18,2
23,sa,female,14,1
23,sa,female,16,1
23,sa,female,18,3
23,sa,female,19,2
23,wa,male,9,1
23,wa,male,12,1
23,wa,male,15,3
23,wa,male,16,1
23,wa,male,17,1
23,wa,male,18,2
23,wa,female,3,1
23,wa,female,16,1
23,wa,female,17,4
23,wa,female,18,3
23,wa,female,19,1
23,tas,male,0,1
23,tas,female,16,2
23,tas,female,18,1
23,tas,female,19,2
23,act,male,16,1
