tick,area,sex,age_months,count
0,nsw,male,0,2444
0,nsw,male,1,2273
0,nsw,male,2,2287
0,nsw,male,3,2380
0,nsw,male,4,2562
0,nsw,male,5,2622
0,nsw,male,6,2442
0,nsw,male,7,2559
0,nsw,male,8,2402
0,nsw,male,9,2490
0,nsw,male,10,2357
0,nsw,male,11,2107
0,nsw,male,12,1955
0,nsw,male,13,1506
0,nsw,male,14,1156
0,nsw,male,15,873
0,nsw,male,16,643
0,nsw,male,17,340
0,nsw,male,18,102
0,nsw,male,19,18
0,nsw,male,20,2
0,nsw,female,0,2325
0,nsw,female,1,2142
0,nsw,female,2,2169
0,nsw,female,3,2254
0,nsw,female,4,2453
0,nsw,female,5,2588
0,nsw,female,6,2454
0,nsw,female,7,2610
0,nsw,female,8,2454
0,nsw,female,9,2532
0,nsw,female,10,2395
0,nsw,female,11,2137
0,nsw,female,12,1950
0,nsw,female,13,1533
0,nsw,female,14,1225
0,nsw,female,15,1017
0,nsw,female,16,871
0,nsw,female,17,584
0,nsw,female,18,239
0,nsw,female,19,62
0,nsw,female,20,8
0,vic,male,0,1804
0,vic,male,1,1670
0,vic,male,2,1696
0,vic,male,3,1830
0,vic,male,4,2136
0,vic,male,5,2118
0,vic,male,6,1907
0,vic,male,7,1975
0,vic,male,8,1918
0,vic,male,9,1871
0,vic,male,10,1764
0,vic,male,11,1562
0,vic,male,12,1427
0,vic,male,13,1087
0,vic,male,14,855
0,vic,male,15,644
0,vic,male,16,483
0,vic,male,17,246
0,vic,male,18,76
0,vic,male,19,16
0,vic,male,20,1
0,vic,female,0,1703
0,vic,female,1,1590
0,vic,female,2,1604
0,vic,female,3,1741
0,vic,female,4,2007
0,vic,female,5,2059
0,vic,female,6,1913
0,vic,female,7,2029
0,vic,female,8,1971
0,vic,female,9,1926
0,vic,female,10,1810
0,vic,female,11,1616
0,vic,female,12,1478
0,vic,female,13,1134
0,vic,female,14,918
0,vic,female,15,765
0,vic,female,16,656
0,vic,female,17,431
0,vic,female,18,176
0,vic,female,19,45
0,vic,female,20,7
0,qld,male,0,1587
0,qld,male,1,1471
0,qld,male,2,1486
0,qld,male,3,1541
0,qld,male,4,1623
0,qld,male,5,1640
0,qld,male,6,1470
0,qld,male,7,1597
0,qld,male,8,1527
0,qld,male,9,1530
0,qld,male,10,1428
0,qld,male,11,1293
0,qld,male,12,1210
0,qld,male,13,913
0,qld,male,14,668
0,qld,male,15,465
0,qld,male,16,333
0,qld,male,17,171
0,qld,male,18,53
0,qld,male,19,11
0,qld,male,20,1
0,qld,female,0,1474
0,qld,female,1,1396
0,qld,female,2,1423
0,qld,female,3,1474
0,qld,female,4,1572
0,qld,female,5,1590
0,qld,female,6,1483
0,qld,female,7,1620
0,qld,female,8,1560
0,qld,female,9,1576
0,qld,female,10,1458
0,qld,female,11,1303
0,qld,female,12,1185
0,qld,female,13,904
0,qld,female,14,670
0,qld,female,15,526
0,qld,female,16,434
0,qld,female,17,284
0,qld,female,18,117
0,qld,female,19,31
0,qld,female,20,4
0,sa,male,0,501
0,sa,male,1,481
0,sa,male,2,508
0,sa,male,3,546
0,sa,male,4,596
0,sa,male,5,565
0,sa,male,6,506
0,sa,male,7,549
0,sa,male,8,564
0,sa,male,9,580
