"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","24380","sembla","127.0.0.1","sembla_count_deferred","1","7","(256, 1, 1)","(65535, 1, 1)","0","9.0","Memory Workload Analysis","Memory Throughput","Gbyte/s","769.67",
"0","24380","sembla","127.0.0.1","sembla_count_deferred","1","7","(256, 1, 1)","(65535, 1, 1)","0","9.0","Memory Workload Analysis","Mem Busy","%","41.45",
"0","24380","sembla","127.0.0.1","sembla_count_deferred","1","7","(256, 1, 1)","(65535, 1, 1)","0","9.0","Memory Workload Analysis","Max Bandwidth","%","37.75",
"0","24380","sembla","127.0.0.1","sembla_count_deferred","1","7","(256, 1, 1)","(65535, 1, 1)","0","9.0","Memory Workload Analysis","L1/TEX Hit Rate","%","0",
"0","24380","sembla","127.0.0.1","sembla_count_deferred","1","7","(256, 1, 1)","(65535, 1, 1)","0","9.0","Memory Workload Analysis","L2 Compression Success Rate","%","0",
"0","24380","sembla","127.0.0.1","sembla_count_deferred","1","7","(256, 1, 1)","(65535, 1, 1)","0","9.0","Memory Workload Analysis","L2 Compression Ratio","%","0",
"0","24380","sembla","127.0.0.1","sembla_count_deferred","1","7","(256, 1, 1)","(65535, 1, 1)","0","9.0","Memory Workload Analysis","L2 Compression Input Sectors","sector","1478",
"0","24380","sembla","127.0.0.1","sembla_count_deferred","1","7","(256, 1, 1)","(65535, 1, 1)","0","9.0","Memory Workload Analysis","L2 Hit Rate","%","11.37",
"0","24380","sembla","127.0.0.1","sembla_count_deferred","1","7","(256, 1, 1)","(65535, 1, 1)","0","9.0","Memory Workload Analysis","Mem Pipes Busy","%","34.58",
"0","24380","sembla","127.0.0.1","sembla_count_deferred","1","7","(256, 1, 1)","(65535, 1, 1)","0","9.0","Scheduler Statistics","One or More Eligible","%","61.29",
"0","24380","sembla","127.0.0.1","sembla_count_deferred","1","7","(256, 1, 1)","(65535, 1, 1)","0","9.0","Scheduler Statistics","Issued Warp Per Scheduler","","0.61",
"0","24380","sembla","127.0.0.1","sembla_count_deferred","1","7","(256, 1, 1)","(65535, 1, 1)","0","9.0","Scheduler Statistics","No Eligible","%","38.71",
"0","24380","sembla","127.0.0.1","sembla_count_deferred","1","7","(256, 1, 1)","(65535, 1, 1)","0","9.0","Scheduler Statistics","Active Warps Per Scheduler","warp","14.99",
"0","24380","sembla","127.0.0.1","sembla_count_deferred","1","7","(256, 1, 1)","(65535, 1, 1)","0","9.0","Scheduler Statistics","Eligible Warps Per Scheduler","warp","1.44",
"0","24380","sembla","127.0.0.1","sembla_count_deferred","1","7","(256, 1, 1)","(65535, 1, 1)","0","9.0","Warp State Statistics","Warp Cycles Per Issued Instruction","cycle","24.46",
"0","24380","sembla","127.0.0.1","sembla_count_deferred","1","7","(256, 1, 1)","(65535, 1, 1)","0","9.0","Warp State Statistics","Warp Cycles Per Executed Instruction","cycle","24.46",
"0","24380","sembla","127.0.0.1","sembla_count_deferred","1","7","(256, 1, 1)","(65535, 1, 1)","0","9.0","Warp State Statistics","Avg. Active Threads Per Warp","","31.66",
"0","24380","sembla","127.0.0.1","sembla_count_deferred","1","7","(256, 1, 1)","(65535, 1, 1)","0","9.0","Warp State Statistics","Avg. Not Predicated Off Threads Per Warp","","24.11",
"0","24380","sembla","127.0.0.1","sembla_count_deferred","1","7","(256, 1, 1)","(65535, 1, 1)","0","9.0","WarpStateStats","","","","CPIStall","WRN","The optional metric smsp__pcsamp_sample_count could not be found. Collecting it as an additional metric could enable the rule to provide more guidance.","",""
"0","24380","sembla","127.0.0.1","sembla_count_deferred","1","7","(256, 1, 1)","(65535, 1, 1)","0","9.0","WarpStateStats","","","","CPIStall","OPT","On average, each warp of this workload spends 15.1 cycles being stalled waiting for a scoreboard dependency on a L1TEX (local, global, surface, texture) operation. Find the instruction producing the data being waited upon to identify the culprit. To reduce the number of cycles waiting on L1TEX data accesses verify the memory access patterns are optimal for the target architecture, attempt to increase cache hit rates by increasing data locality (coalescing), or by changing the cache configuration. Consider moving frequently used data to shared memory. This stall type represents about 61.6% of the total average of 24.5 cycles between issuing two instructions.","local","61.61"
"0","24380","sembla","127.0.0.1","sembla_count_deferred","1","7","(256, 1, 1)","(65535, 1, 1)","0","9.0","WarpStateStats","","","","CPIStall","INF","Check the Warp Stall Sampling (All Samples) table for the top stall locations in your source based on sampling data. The Profiling Guide (https://docs.nvidia.com/nsight-compute/ProfilingGuide/index.html#metrics-reference) provides more details on each stall reason.","",""
